timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2025-04-07T00:00:00.000Z";"2025-04-07T23:59:59.999Z";"2025-04-07T14:20:00.000Z";"2025-04-07T06:58:00.000Z";"2781";5.090617353;5.3015629332;4.6535063679;5.1197876353;237002795.24;3217756090.2;"2025-04-07T23:59:59.999Z"
"2025-04-06T00:00:00.000Z";"2025-04-06T23:59:59.999Z";"2025-04-06T08:55:00.000Z";"2025-04-06T23:25:00.000Z";"2781";5.8623469449;5.8843171616;4.9875022222;5.090617353;140909248.76;3199422741.15;"2025-04-06T23:59:59.999Z"
"2025-04-05T00:00:00.000Z";"2025-04-05T23:59:59.999Z";"2025-04-05T01:43:00.000Z";"2025-04-05T17:12:00.000Z";"2781";5.9045747153;5.9341342471;5.7672145561;5.8623651045;56048003.74;3684450201.52;"2025-04-05T23:59:59.999Z"
"2025-04-04T00:00:00.000Z";"2025-04-04T23:59:59.999Z";"2025-04-04T08:30:00.000Z";"2025-04-04T11:34:00.000Z";"2781";5.8619224363;6.0225223774;5.6756430991;5.9045747153;135205818.11;3710990104.14;"2025-04-04T23:59:59.999Z"
"2025-04-03T00:00:00.000Z";"2025-04-03T23:59:59.999Z";"2025-04-03T05:08:00.000Z";"2025-04-03T14:58:00.000Z";"2781";5.8405984417;6.0580995042;5.6625072119;5.8619063073;116241592.98;3684183400.38;"2025-04-03T23:59:59.999Z"
"2025-04-02T00:00:00.000Z";"2025-04-02T23:59:59.999Z";"2025-04-02T20:21:00.000Z";"2025-04-02T23:25:00.000Z";"2781";6.2681475701;6.376848981;5.7983335533;5.840698202;159329876.94;3670837762.04;"2025-04-02T23:59:59.999Z"
"2025-04-01T00:00:00.000Z";"2025-04-01T23:59:59.999Z";"2025-04-01T21:41:00.000Z";"2025-04-01T01:46:00.000Z";"2781";5.9703351526;6.3342433825;5.9673775693;6.2681770651;84503143.15;3939493481.87;"2025-04-01T23:59:59.999Z"
"2025-03-31T00:00:00.000Z";"2025-03-31T23:59:59.999Z";"2025-03-31T20:17:00.000Z";"2025-03-31T10:14:00.000Z";"2781";5.866469307;6.046057976;5.755935035;5.9703492338;110990355.03;3752328998;"2025-03-31T23:59:59.999Z"
"2025-03-30T00:00:00.000Z";"2025-03-30T23:59:59.999Z";"2025-03-30T04:55:00.000Z";"2025-03-30T22:10:00.000Z";"2781";5.9547072797;6.0569260071;5.8160921797;5.8664934059;73816259.51;3687056227.63;"2025-03-30T23:59:59.999Z"
"2025-03-29T00:00:00.000Z";"2025-03-29T23:59:59.999Z";"2025-03-29T00:43:00.000Z";"2025-03-29T17:26:00.000Z";"2781";6.172399168;6.2429857171;5.8778190013;5.9547950549;106618920.13;3742498122.86;"2025-03-29T23:59:59.999Z"
"2025-03-28T00:00:00.000Z";"2025-03-28T23:59:59.999Z";"2025-03-28T02:24:00.000Z";"2025-03-28T21:04:00.000Z";"2781";6.721971184;6.8295534802;6.0621704894;6.172399168;149081858.24;3879316180.38;"2025-03-28T23:59:59.999Z"
"2025-03-27T00:00:00.000Z";"2025-03-27T23:59:59.999Z";"2025-03-27T07:13:00.000Z";"2025-03-27T13:43:00.000Z";"2781";6.7218757883;6.8978788032;6.6669251208;6.721971184;109634843.39;4224718925.09;"2025-03-27T23:59:59.999Z"
"2025-03-26T00:00:00.000Z";"2025-03-26T23:59:59.999Z";"2025-03-26T11:40:00.000Z";"2025-03-26T23:22:00.000Z";"2781";6.967298248;7.1212400412;6.6630203944;6.7218186454;123752124.51;4224623055.48;"2025-03-26T23:59:59.999Z"
"2025-03-25T00:00:00.000Z";"2025-03-25T23:59:59.999Z";"2025-03-25T00:29:00.000Z";"2025-03-25T23:16:00.000Z";"2781";7.0706329878;7.1246339351;6.9357180971;6.9672966076;88724050.89;4378905526.27;"2025-03-25T23:59:59.999Z"
