timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2025-04-08T00:00:00.000Z";"2025-04-08T23:59:59.999Z";"2025-04-08T13:28:00.000Z";"2025-04-08T19:50:00.000Z";"2781";70.9709737877;73.403195358;68.4223021566;69.0932335312;520346488.49;5220607668.6;"2025-04-08T23:59:59.999Z"
"2025-04-07T00:00:00.000Z";"2025-04-07T23:59:59.999Z";"2025-04-07T14:19:00.000Z";"2025-04-07T07:06:00.000Z";"2781";70.4286539782;72.3546775788;63.7518602985;70.9651644568;1102503251.38;5362458073.45;"2025-04-07T23:59:59.999Z"
"2025-04-06T00:00:00.000Z";"2025-04-06T23:59:59.999Z";"2025-04-06T01:28:00.000Z";"2025-04-06T23:25:00.000Z";"2781";82.7111982165;82.9974093481;68.6411357725;70.4285464513;657828966.69;5321481219.32;"2025-04-06T23:59:59.999Z"
"2025-04-05T00:00:00.000Z";"2025-04-05T23:59:59.999Z";"2025-04-05T02:48:00.000Z";"2025-04-05T20:43:00.000Z";"2781";84.4185195852;84.877888669;81.7977269949;82.7114556913;236343176.68;6249531448.84;"2025-04-05T23:59:59.999Z"
"2025-04-04T00:00:00.000Z";"2025-04-04T23:59:59.999Z";"2025-04-04T10:07:00.000Z";"2025-04-04T11:34:00.000Z";"2781";83.3250276969;84.9629929841;81.7951472359;84.4177281435;447174200.65;6378534036.37;"2025-04-04T23:59:59.999Z"
"2025-04-03T00:00:00.000Z";"2025-04-03T23:59:59.999Z";"2025-04-03T09:46:00.000Z";"2025-04-03T13:05:00.000Z";"2781";81.7597695027;84.5735906931;80.3621509867;83.3250675285;513143317.35;6295911464.18;"2025-04-03T23:59:59.999Z"
"2025-04-02T00:00:00.000Z";"2025-04-02T23:59:59.999Z";"2025-04-02T20:19:00.000Z";"2025-04-02T23:20:00.000Z";"2781";84.4879427024;88.0730822573;81.1694967036;81.7588777825;689988276.81;6177642952.52;"2025-04-02T23:59:59.999Z"
"2025-04-01T00:00:00.000Z";"2025-04-01T23:59:59.999Z";"2025-04-01T15:52:00.000Z";"2025-04-01T00:02:00.000Z";"2781";83.0338162605;85.839246822;82.958771566;84.4888227842;365025852.27;6383779540.76;"2025-04-01T23:59:59.999Z"
"2025-03-31T00:00:00.000Z";"2025-03-31T23:59:59.999Z";"2025-03-31T00:14:00.000Z";"2025-03-31T10:18:00.000Z";"2781";86.003477383;86.1614859089;81.0151613547;83.033501411;490698698.87;6273907974.09;"2025-03-31T23:59:59.999Z"
"2025-03-30T00:00:00.000Z";"2025-03-30T23:59:59.999Z";"2025-03-30T03:16:00.000Z";"2025-03-30T00:44:00.000Z";"2781";85.4483915337;86.7560057952;84.8298861416;86.0034700498;304673705.73;6498291019.89;"2025-03-30T23:59:59.999Z"
"2025-03-29T00:00:00.000Z";"2025-03-29T23:59:59.999Z";"2025-03-29T00:46:00.000Z";"2025-03-29T17:19:00.000Z";"2781";87.3965946829;87.9295843145;84.4646800219;85.4487573874;393958821.41;6456349583.34;"2025-03-29T23:59:59.999Z"
"2025-03-28T00:00:00.000Z";"2025-03-28T23:59:59.999Z";"2025-03-28T01:46:00.000Z";"2025-03-28T21:22:00.000Z";"2781";92.8229523591;93.3537385046;85.8520524451;87.3966262021;533689886.47;6603552829.24;"2025-03-28T23:59:59.999Z"
"2025-03-27T00:00:00.000Z";"2025-03-27T23:59:59.999Z";"2025-03-27T10:34:00.000Z";"2025-03-27T18:01:00.000Z";"2781";92.3368487529;94.9768942992;92.3164496606;92.82348065;385090771.14;7013560103.72;"2025-03-27T23:59:59.999Z"
"2025-03-26T00:00:00.000Z";"2025-03-26T23:59:59.999Z";"2025-03-26T11:31:00.000Z";"2025-03-26T19:17:00.000Z";"2781";94.4491834518;96.4701062537;91.2317690288;92.336749743;490084181.87;6976830859.8;"2025-03-26T23:59:59.999Z"
"2025-03-25T00:00:00.000Z";"2025-03-25T23:59:59.999Z";"2025-03-25T13:34:00.000Z";"2025-03-25T04:05:00.000Z";"2781";93.6731105403;94.6620866091;92.0733251169;94.4495498562;416701791.91;7136435634.19;"2025-03-25T23:59:59.999Z"
"2025-03-24T00:00:00.000Z";"2025-03-24T23:59:59.999Z";"2025-03-24T21:33:00.000Z";"2025-03-24T01:47:00.000Z";"2781";91.4144838003;95.5163785395;90.9583666816;93.6745045759;543202291.53;7077796753.71;"2025-03-24T23:59:59.999Z"
"2025-03-23T00:00:00.000Z";"2025-03-23T23:59:59.999Z";"2025-03-23T15:43:00.000Z";"2025-03-23T21:49:00.000Z";"2781";91.2575297606;92.9434767911;90.7797829436;91.4153541001;310565424.3;6907138376.76;"2025-03-23T23:59:59.999Z"
"2025-03-22T00:00:00.000Z";"2025-03-22T23:59:59.999Z";"2025-03-22T19:46:00.000Z";"2025-03-22T02:03:00.000Z";"2781";90.9333855939;92.1475939158;90.5001490973;91.2575423562;298814286.73;6895279169.93;"2025-03-22T23:59:59.999Z"
