timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2025-04-08T00:00:00.000Z";"2025-04-08T23:59:59.999Z";"2025-04-08T14:08:00.000Z";"2025-04-08T22:40:00.000Z";"2781";16.6947888028;17.6850211394;15.9577860472;16.1217543311;361405461.41;6700949354.27;"2025-04-08T23:59:59.999Z"
"2025-04-07T00:00:00.000Z";"2025-04-07T23:59:59.999Z";"2025-04-07T17:58:00.000Z";"2025-04-07T07:34:00.000Z";"2781";15.9945804826;17.1108725781;14.7033576074;16.6947622305;729973331.53;6936973846.62;"2025-04-07T23:59:59.999Z"
"2025-04-06T00:00:00.000Z";"2025-04-06T23:59:59.999Z";"2025-04-06T00:43:00.000Z";"2025-04-06T23:25:00.000Z";"2781";17.8914879024;17.8951136428;15.6528595002;15.9947156117;354643328.2;6642323646.29;"2025-04-06T23:59:59.999Z"
"2025-04-05T00:00:00.000Z";"2025-04-05T23:59:59.999Z";"2025-04-05T01:37:00.000Z";"2025-04-05T22:28:00.000Z";"2781";18.1817190455;18.3582466622;17.7295194183;17.8916186346;135715781.13;7429917557.99;"2025-04-05T23:59:59.999Z"
"2025-04-04T00:00:00.000Z";"2025-04-04T23:59:59.999Z";"2025-04-04T08:25:00.000Z";"2025-04-04T11:32:00.000Z";"2781";18.1338083358;18.7467603325;17.6734748925;18.1817190455;346981297.79;7550214279.57;"2025-04-04T23:59:59.999Z"
"2025-04-03T00:00:00.000Z";"2025-04-03T23:59:59.999Z";"2025-04-03T05:12:00.000Z";"2025-04-03T13:02:00.000Z";"2781";18.0134230816;18.9642949517;17.6201087987;18.1337935148;333215973.69;7524303263.16;"2025-04-03T23:59:59.999Z"
"2025-04-02T00:00:00.000Z";"2025-04-02T23:59:59.999Z";"2025-04-02T00:07:00.000Z";"2025-04-02T23:04:00.000Z";"2781";19.7924300045;19.8246041426;17.8093529148;18.013551173;475338407.8;7473816717.85;"2025-04-02T23:59:59.999Z"
"2025-04-01T00:00:00.000Z";"2025-04-01T23:59:59.999Z";"2025-04-01T15:52:00.000Z";"2025-04-01T01:46:00.000Z";"2781";18.7689391395;19.9253725271;18.7410347089;19.7926583205;287419415.08;8211556939.13;"2025-04-01T23:59:59.999Z"
"2025-03-31T00:00:00.000Z";"2025-03-31T23:59:59.999Z";"2025-03-31T15:28:00.000Z";"2025-03-31T09:58:00.000Z";"2781";18.8628117908;19.1002178092;18.2155566427;18.768948645;253348452.96;7786640714.8;"2025-03-31T23:59:59.999Z"
"2025-03-30T00:00:00.000Z";"2025-03-30T23:59:59.999Z";"2025-03-30T03:27:00.000Z";"2025-03-30T22:10:00.000Z";"2781";19.6545240392;19.8785862356;18.7328254213;18.8628316355;222561605.81;7825249577.53;"2025-03-30T23:59:59.999Z"
